
[Modifications]
NumberOfMods=40
Position1=1408,46,30,0.9987568
Position2=1409,47,30,0.9987568
Position3=1455,46,31,0.9987568
Position4=1456,47,31,0.9987568
Position5=1407,45,30,0.9987568
Position6=1454,45,31,0.9987568
Position7=1404,42,30,0.9987568
Position8=1405,43,30,0.9987568
Position9=1406,44,30,0.9987568
Position10=1451,42,31,0.9987568
Position11=1452,43,31,0.9987568
Position12=1453,44,31,0.9987568
Position13=1402,40,30,0.9987568
Position14=1403,41,30,0.9987568
Position15=1449,40,31,0.9987568
Position16=1450,41,31,0.9987568
Position17=1355,40,29,0.9987568
Position18=1356,41,29,0.9987568
Position19=1357,42,29,0.9987568
Position20=1358,43,29,0.9987568
Position21=1359,44,29,0.9987568
Position22=1360,45,29,0.9987568
Position23=1361,46,29,0.9987568
Position24=1362,47,29,0.9987568
Position25=1315,47,28,0.9987568
Position26=1313,45,28,0.9987568
Position27=1314,46,28,0.9987568
Position28=1311,43,28,0.9987568
Position29=1312,44,28,0.9987568
Position30=1310,42,28,0.9987568
Position31=1308,40,28,0.9987568
Position32=1309,41,28,0.9987568
Position33=1307,39,28,0.9987568
Position34=1354,39,29,0.9987568
Position35=1501,45,32,0.9987568
Position36=1502,46,32,0.9987568
Position37=1503,47,32,0.9987568
Position38=1497,41,32,0.9987568
Position39=1498,42,32,0.9987568
Position40=1499,43,32,0.9987568

[VegetationMask]
NumberOfEntries=14
Mask1=100,272,295
Mask2=101,272,295
Mask3=102,272,295
Mask4=103,272,295
Mask5=104,272,295
Mask6=105,272,295
Mask7=106,272,295
Mask8=107,272,295
Mask9=108,272,295
Mask10=109,272,295
Mask11=110,272,295
Mask12=111,272,295
Mask13=112,272,295
Mask14=113,272,295
